0	22
5	24
10	24
15	24
20	25
25	26
30	28
35	25
40	26
45	23
50	23
55	22
60	22
65	22
70	22
75	22
80	22
85	22
90	22
95	22
100	22
105	22
110	22
115	22
120	24
125	23
130	26
135	24
140	121
145	26
150	114
155	114
160	112
165	113
170	105
175	105
180	104
185	104
190	104
195	103
200	103
205	103
210	103
215	105
220	105
225	105
230	255
235	255
240	133
245	118
250	119
255	130
260	129
265	120
270	25
275	24
280	23
285	22
290	22
295	21
300	21
305	21
310	21
315	21
320	21
325	20
330	20
335	20
340	20
345	21
350	21
355	21
